stock,day,sentiment
ACHC,2020-05-04 00:00:00+00:00,0.0
ACHC,2020-05-05 00:00:00+00:00,0.148
ACHC,2020-05-06 00:00:00+00:00,0.004299999999999998
ACHC,2020-05-07 00:00:00+00:00,-0.128
ACHC,2020-05-13 00:00:00+00:00,-0.8841
ACHC,2020-05-18 00:00:00+00:00,0.8519
ACHN,2019-12-09 00:00:00+00:00,-0.4019
ACHN,2019-12-19 00:00:00+00:00,0.4939
ACHN,2020-01-27 00:00:00+00:00,0.08231666666666666
ACHN,2020-01-28 00:00:00+00:00,0.2787
ACIW,2020-03-12 00:00:00+00:00,-0.2023
ACIW,2020-03-19 00:00:00+00:00,-0.2023
ACIW,2020-03-27 00:00:00+00:00,0.8271
ACIW,2020-04-23 00:00:00+00:00,0.0
ACIW,2020-04-27 00:00:00+00:00,0.9062
ACIW,2020-05-07 00:00:00+00:00,-0.3612
ACIW,2020-05-13 00:00:00+00:00,-0.7096
ACIW,2020-05-14 00:00:00+00:00,-0.8481
ACIW,2020-05-29 00:00:00+00:00,0.10115
ACLS,2020-04-15 00:00:00+00:00,0.0
ACLS,2020-04-28 00:00:00+00:00,-0.296
ACLS,2020-04-30 00:00:00+00:00,-0.4215
ACLS,2020-05-05 00:00:00+00:00,0.0
ACLS,2020-05-06 00:00:00+00:00,0.0
ACLS,2020-05-07 00:00:00+00:00,0.0
ACLS,2020-05-26 00:00:00+00:00,0.06743333333333333
ACM,2020-04-15 00:00:00+00:00,-0.3182
ACM,2020-04-20 00:00:00+00:00,0.6597
ACM,2020-04-24 00:00:00+00:00,0.1779
ACM,2020-04-28 00:00:00+00:00,-0.3612
ACM,2020-05-05 00:00:00+00:00,-0.07655
ACM,2020-05-06 00:00:00+00:00,0.0
ACM,2020-05-18 00:00:00+00:00,0.8934
ACM,2020-05-26 00:00:00+00:00,0.8225
ACMP,2014-07-29 00:00:00+00:00,0.0
ACMP,2014-10-02 00:00:00+00:00,0.0
ACMP,2014-10-27 00:00:00+00:00,0.24695
ACMP,2014-10-28 00:00:00+00:00,0.0
ACMP,2014-10-29 00:00:00+00:00,0.0
ACMP,2014-12-15 00:00:00+00:00,0.0
ACMP,2015-01-09 00:00:00+00:00,0.0
ACMP,2015-01-26 00:00:00+00:00,0.0
ACN,2020-05-07 00:00:00+00:00,0.743
